epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.48,1.75677,1.78459,1.26704,0.47738,0.28945,0.23544,0.10875,1.57825,1.14911,1.19264,0.000222249,0.000222249,0.000222249
2,1276.56,1.64851,1.24034,1.22828,0.44526,0.30014,0.27058,0.12509,1.58884,1.0739,1.2101,0.000400568,0.000400568,0.000400568
3,2057.89,1.61542,1.14373,1.21338,0.40278,0.30762,0.26515,0.12217,1.56928,1.04898,1.19976,0.000534866,0.000534866,0.000534866
4,2455.06,1.5869,1.07959,1.19962,0.47066,0.31786,0.29851,0.13804,1.55797,1.0055,1.19766,0.000468901,0.000468901,0.000468901
5,2847.75,1.55467,1.02699,1.18309,0.45205,0.32072,0.29851,0.13791,1.54928,0.99281,1.18624,0.000402868,0.000402868,0.000402868
6,3238.8,1.52827,0.98525,1.16731,0.53474,0.32708,0.29512,0.14353,1.52585,0.97184,1.1783,0.000336835,0.000336835,0.000336835
7,3629.47,1.50198,0.94841,1.15641,0.53645,0.34316,0.31004,0.14887,1.52179,0.95381,1.17164,0.000270802,0.000270802,0.000270802
8,4020.49,1.48134,0.91799,1.1446,0.54605,0.33986,0.30713,0.14438,1.5361,0.96219,1.18984,0.000204769,0.000204769,0.000204769
9,4430.08,1.45605,0.88724,1.1326,0.58301,0.34728,0.31202,0.14672,1.52348,0.9403,1.17806,0.000138736,0.000138736,0.000138736
10,4819.62,1.43595,0.86412,1.12228,0.46438,0.35038,0.31636,0.15048,1.52386,0.93201,1.17788,7.2703e-05,7.2703e-05,7.2703e-05
